Viite;Toteutusmaa;Kohderyhmä;Julkaisumuoto;Johdanto_1;Johdanto_2;Johdanto_3;Johdanto_4;Osallistujat_1;Osallistujat_2;Osallistujat_3;Data_1;Data_2;Data_3;Data_4;Data_5;Data_6;Data_7;Data_8;Data_9;Data_10;Etiikka_1;Etiikka_2;Etiikka_3
Annala & Moilanen 2013;Suomi;Ensihoito;Opinnäyte;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Epävarma;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;NA;Ei
Bambi ym. 2014;Italia;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Epävarma;Ei;Epävarma;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;NA;Kyllä
Bernaldo-De-Quirós ym. 2014;Espanja;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;NA;Kyllä
Blaževičienė ym. 2016;Liettua;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Epävarma;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Epävarma;Ei;Ei;Ei;Ei;Epävarma;Ei;Ei;Kyllä;NA;Epävarma
Braun ym. 2021;Saksa;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Epävarma;NA;Kyllä
Çalıkoglu ym. 2018;Turkki;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Epävarma;Ei;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;NA;Kyllä
Çelebi & Gökkaya 2023;Turkki;Pelastusala;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Epävarma;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;NA;Kyllä
Coskun Cenk 2019;Turkki;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;NA;Kyllä
Deniz ym. 2016;Turkki;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Epävarma;Ei;Kyllä;Ei;Ei;Ei;Ei;Ei;Epävarma;Ei;Ei;Ei;Ei;Epävarma;Kyllä;Kyllä;Epävarma;NA;Ei
Eskelinen ym. 2017;Suomi;Pelastusala;Organisaatioraportti;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Epävarma;Ei;NA;Kyllä
Gümüşsoy ym. 2021;Turkki;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;NA;Kyllä
Halmesmäki ym. 2022;Suomi;Ensihoito;Opinnäyte;Kyllä;Ei;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Kyllä;NA;Ei
Hamzaoglu & Türk 2019;Turkki;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;NA;Kyllä
Hazell ym. 2021;Englanti;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;NA;Kyllä
Heikkinen 2023;Suomi;Ensihoito;Opinnäyte;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Epävarma;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Kyllä;NA;Kyllä
Heikkinen ym. 2021;Suomi;Ensihoito;Opinnäyte;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Epävarma;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;NA;Ei
Helin 2013;Suomi;Ensihoito;Opinnäyte;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Ei;Epävarma;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Kyllä;NA;Ei
Hertteli 2015;Suomi;Ensihoito;Opinnäyte;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Epävarma;NA;Ei
Honkavuo ym. 2019;Suomi;"Pelastusala; Ensihoito";Organisaatioraportti;Epävarma;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Epävarma;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Ei;Epävarma;Epävarma;NA;Ei
Huotari 2019;Suomi;Poliisi;Organisaatioraportti;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Epävarma;Kyllä;Epävarma;Epävarma;NA;Ei
Huttunen & Rinkinen 2019;Suomi;Pelastusala;Opinnäyte;Kyllä;Ei;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Kyllä;NA;Ei
Immonen & Liuski 2019;Suomi;Ensihoito;Opinnäyte;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Kyllä;NA;Epävarma
Joensuu ym. 2018;Suomi;Ensihoito;Organisaatioraportti;Kyllä;Epävarma;Kyllä;Ei;Kyllä;Kyllä;Epävarma;Epävarma;Ei;Ei;Ei;Ei;Ei;Kyllä;Epävarma;Kyllä;Ei;Epävarma;NA;Ei
Johnsen ym. 2020;Norja;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;NA;Kyllä
Jäntti & Nordquist 2022;Suomi;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Epävarma;Kyllä;Ei;Epävarma;NA;Ei
Kettunen 2022;Suomi;Pelastusala;Opinnäyte;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Ei;Ei;Epävarma;Ei;Ei;Kyllä;Kyllä;Epävarma;Kyllä;Ei;Epävarma;NA;Ei
Kiviniemi ym. 2021;Suomi;Ensihoito;Opinnäyte;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä;Epävarma;Ei;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;NA;Ei
Klosiewicz ym. 2019;Puola;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Epävarma;NA;Ei
Koivunen ym. 2018;Suomi;Poliisi;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Epävarma;Ei;Ei;Ei;Ei;Epävarma;Kyllä;Kyllä;Epävarma;NA;Ei
Kowalczuk ym. 2017;Puola;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Epävarma;Kyllä;NA;Ei
Leino ym. 2011a;Suomi;Poliisi;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Epävarma;Ei;Kyllä;Epävarma;NA;Ei
Leino ym. 2011b;Suomi;"Poliisi; Järjestyksenvalvojat";Vertaisarvioitu tutkimusartikkeli;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Epävarma;Epävarma;Kyllä;Ei;Ei;Ei;Epävarma;Epävarma;Kyllä;Kyllä;Epävarma;NA;Kyllä
Leino ym. 2011c;Suomi;Järjestyksenvalvojat;Vertaisarvioitu tutkimusartikkeli;Kyllä;Epävarma;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Epävarma;Epävarma;NA;Kyllä
Leino ym. 2011d;Suomi;Poliisi;Vertaisarvioitu tutkimusartikkeli;Kyllä;Epävarma;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Epävarma;Ei;Kyllä;Ei;Epävarma;NA;Ei
Leppänen & Ritala 2022;Suomi;Ensihoito;Opinnäyte;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Epävarma;Ei;Ei;Epävarma;NA;Ei
Leppänen 2017;Suomi;Ensihoito;Opinnäyte;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Epävarma;Kyllä;Ei;Epävarma;Ei;NA;Ei
Leuchter ym. 2020;Saksa;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Epävarma;Ei;Epävarma;Epävarma;NA;Kyllä
Luoma 2020;Suomi;"Pelastusala; Ensihoito";Opinnäyte;Kyllä;Ei;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Ei;NA;Ei
Maguire ym. 2018a;N/A;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Epävarma;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Epävarma;Kyllä;Kyllä;Kyllä;NA;NA;Kyllä
Newbury-Birch ym. 2017;Englanti;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;NA;Ei
Niemi 2020;Suomi;"Pelastusala; Ensihoito";Opinnäyte;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Ei;NA;Ei
Nordquist 2023;Suomi;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;NA;Ei
Otonkorpi-Lehtoranta ym. 2015;Suomi;Puolustusvoimat;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Ei;Kyllä;Epävarma;Epävarma;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Epävarma;NA;Ei
Paasonen & Vainio 2022;Suomi;Vankilahenkilöstö;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Kyllä;Epävarma;Epävarma;NA;Kyllä
Pekurinen ym. 2017;Suomi;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;Ei;Ei;Ei;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Kyllä;Ei;NA;NA;Kyllä
Petzäll ym. 2011;Ruotsi;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Ei;Ei;Epävarma;Epävarma;Kyllä;Ei;Epävarma;NA;Ei
Rajamäki 2019;Suomi;Ensihoito;Opinnäyte;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;NA;Ei
Saari ym. 2019;Suomi;Poliisi;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä;Epävarma;NA;Ei
Savoy ym. 2021;Sveitsi;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;NA;NA;Kyllä
Schablon ym. 2022;Saksa;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Kyllä;Epävarma;NA;NA;Kyllä
Shkatula ym. 2019;Ukraina;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Kyllä;Ei;Epävarma;NA;Kyllä
Sisäministeriö 2021;Suomi;Pelastusala;Organisaatioraportti;Kyllä;Epävarma;Ei;Ei;Ei;Epävarma;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Ei;Epävarma;Epävarma;NA;Ei
Sommovigo & Setti 2022;Italia;"Pelastusala; Ensihoito";Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;NA;Ei
Sutinen 2010;Suomi;Ensihoito;Opinnäyte;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Kyllä;Kyllä;Kyllä;Epävarma;NA;Ei
van der Velden ym. 2016;Alankomaat;Ensihoito;Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Kyllä;Epävarma;Ei;Ei;Kyllä;NA;Kyllä
van Reemst & Fischer 2019;Alankomaat;"Pelastusala; Ensihoito; Poliisi";Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei;Kyllä;Ei;Epävarma;NA;Kyllä
van Reemst & Jongerling 2021;Alankomaat;"Pelastusala; Ensihoito; Poliisi";Vertaisarvioitu tutkimusartikkeli;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei;Kyllä;Ei;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä;Ei;Epävarma;NA;Kyllä
Virta 2020;Suomi;"Pelastusala; Ensihoito";Opinnäyte;Epävarma;Kyllä;Ei;Ei;Kyllä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei;Ei;Epävarma;Kyllä;Ei;Kyllä;Epävarma;NA;Ei
