Koodi;Alkuperäinen teksti;
k3_1;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Verbaalinen väkivalta;
k3_2;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Omaisuuden vahingoittaminen tai varastaminen;
k3_3;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Uhkailu;
k3_4;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Fyysinen väkivalta;
k3_5;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Seksuaalinen häirintä tai väkivalta;
k3_6;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Vihamielisyys tai epäkohtelias käyttäytyminen;
k3_7;Kuinka usein olet itse kohdannut seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Syrjintä;
k4_1;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Verbaalinen väkivalta;
k4_2;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Omaisuuden vahingoittaminen tai varastaminen;
k4_3;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Uhkailu;
k4_4;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Fyysinen väkivalta;
k4_5;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Seksuaalinen häirintä tai väkivalta;
k4_6;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Vihamielisyys tai epäkohtelias käyttäytyminen;
k4_7;Kuinka usein olet havainnut kollegan kohdanneen seuraavia epäasiallisen kohtelun muotoja organisaatiosi sisällä viimeisen 12 kuukauden aikana?:Syrjintä;
k5_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Nöyryyttäminen, häpäiseminen:Minä koin;
k5_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Nöyryyttäminen, häpäiseminen:Kollegani koki;
k5_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Nolaaminen: vähättely, alentaminen, holhoava käyttäytyminen:Minä koin;
k5_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Nolaaminen: vähättely, alentaminen, holhoava käyttäytyminen:Kollegani koki;
k5_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Nuhtelu toisten edessä:Minä koin;
k5_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Nuhtelu toisten edessä:Kollegani koki;
k5_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Työn arvostelu epäoikeudenmukaisella tai loukkaavalla tavalla:Minä koin;
k5_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Työn arvostelu epäoikeudenmukaisella tai loukkaavalla tavalla:Kollegani koki;
k5_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Huutaminen:Minä koin;
k5_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Huutaminen:Kollegani koki;
k5_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Kiroilu tai henkilöön kohdistuva kiroaminen:Minä koin;
k5_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Kiroilu tai henkilöön kohdistuva kiroaminen:Kollegani koki;
k5_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Loukkaava nimittely:Minä koin;
k5_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Loukkaava nimittely:Kollegani koki;
k5_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Valheellinen syyttäminen:Minä koin;
k5_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Valheellinen syyttäminen:Kollegani koki;
k5_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Ärsyttämismielessä sanotut asiat:Minä koin;
k5_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä verbaalisesta väkivallasta::Ärsyttämismielessä sanotut asiat:Kollegani koki;
k6_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden varastaminen:Minä koin;
k6_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden varastaminen:Kollegani koki;
k6_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden piilottaminen tai kätkeminen:Minä koin;
k6_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden piilottaminen tai kätkeminen:Kollegani koki;
k6_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden rikkominen:Minä koin;
k6_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden rikkominen:Kollegani koki;
k6_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden likaaminen tai niihin töhertäminen:Minä koin;
k6_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden likaaminen tai niihin töhertäminen:Kollegani koki;
k6_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden luvaton käyttö:Minä koin;
k6_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Työvälineiden luvaton käyttö:Kollegani koki;
k6_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden varastaminen:Minä koin;
k6_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden varastaminen:Kollegani koki;
k6_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden piilottaminen tai kätkeminen:Minä koin;
k6_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden piilottaminen tai kätkeminen:Kollegani koki;
k6_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden rikkominen:Minä koin;
k6_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden rikkominen:Kollegani koki;
k6_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden likaaminen tai niihin töhertäminen:Minä koin;
k6_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden likaaminen tai niihin töhertäminen:Kollegani koki;
k6_10_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden luvaton käyttö:Minä koin;
k6_10_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä omaisuuden vahingoittamisesta tai varastamisesta::Henkilökohtaisen omaisuuden luvaton käyttö:Kollegani koki;
k7_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Pelottelu:Minä koin;
k7_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Pelottelu:Kollegani koki;
k7_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Työn tai liikkumisen estäminen:Minä koin;
k7_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Työn tai liikkumisen estäminen:Kollegani koki;
k7_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Äänen korottaminen:Minä koin;
k7_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Äänen korottaminen:Kollegani koki;
k7_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Vuorovaikutustilanteessa liian lähelle tuleminen:Minä koin;
k7_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Vuorovaikutustilanteessa liian lähelle tuleminen:Kollegani koki;
k7_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Törkeiden eleiden näyttäminen:Minä koin;
k7_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Törkeiden eleiden näyttäminen:Kollegani koki;
k7_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Muu törkeä käyttäytyminen:Minä koin;
k7_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Muu törkeä käyttäytyminen:Kollegani koki;
k7_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Mulkoilu tai tuijottaminen:Minä koin;
k7_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Mulkoilu tai tuijottaminen:Kollegani koki;
k7_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Fyysisellä väkivallalla uhkaaminen:Minä koin;
k7_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Fyysisellä väkivallalla uhkaaminen:Kollegani koki;
k7_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Esineellä heittämisellä uhkaaminen:Minä koin;
k7_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Esineellä heittämisellä uhkaaminen:Kollegani koki;
k7_10_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Aseella tai voimankäyttövälineellä uhkaaminen:Minä koin;
k7_10_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Aseella tai voimankäyttövälineellä uhkaaminen:Kollegani koki;
k7_11_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Tappamisella uhkaaminen:Minä koin;
k7_11_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Tappamisella uhkaaminen:Kollegani koki;
k7_12_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Seuraaminen:Minä koin;
k7_12_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Seuraaminen:Kollegani koki;
k7_13_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Tarkkailu:Minä koin;
k7_13_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Tarkkailu:Kollegani koki;
k7_14_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Läheisiin kohdistuvalla väkivallalla uhkaaminen:Minä koin;
k7_14_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä uhkailusta::Läheisiin kohdistuvalla väkivallalla uhkaaminen:Kollegani koki;
k8_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Lyöminen:Minä koin;
k8_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Lyöminen:Kollegani koki;
k8_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Tuuppaaminen tai tönäiseminen:Minä koin;
k8_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Tuuppaaminen tai tönäiseminen:Kollegani koki;
k8_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Tarkoituksella henkilöön törmääminen liiallisella voimalla:Minä koin;
k8_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Tarkoituksella henkilöön törmääminen liiallisella voimalla:Kollegani koki;
k8_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Päälle sylkäiseminen:Minä koin;
k8_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Päälle sylkäiseminen:Kollegani koki;
k8_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Esineellä heittäminen:Minä koin;
k8_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Esineellä heittäminen:Kollegani koki;
k8_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Kiinni tarttuminen:Minä koin;
k8_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Kiinni tarttuminen:Kollegani koki;
k8_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Potkaiseminen:Minä koin;
k8_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Potkaiseminen:Kollegani koki;
k8_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Kuristaminen:Minä koin;
k8_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Kuristaminen:Kollegani koki;
k8_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Raapiminen:Minä koin;
k8_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Raapiminen:Kollegani koki;
k8_10_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Hiuksista tarttuminen:Minä koin;
k8_10_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Hiuksista tarttuminen:Kollegani koki;
k8_11_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Voimankäyttövälineillä tai aseella vahingoittaminen:Minä koin;
k8_11_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä fyysisestä väkivallasta::Voimankäyttövälineillä tai aseella vahingoittaminen:Kollegani koki;
k9_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Seksuaaliset vitsit tai nöyryyttävät seksuaaliset kommentit:Minä koin;
k9_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Seksuaaliset vitsit tai nöyryyttävät seksuaaliset kommentit:Kollegani koki;
k9_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Seksuaaliset keholliset eleet:Minä koin;
k9_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Seksuaaliset keholliset eleet:Kollegani koki;
k9_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Toistuvat tapaamisen tai puhelinnumeron vaatimukset:Minä koin;
k9_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Toistuvat tapaamisen tai puhelinnumeron vaatimukset:Kollegani koki;
k9_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Seksuaalinen tai seksuaalissävytteinen vihjailu:Minä koin;
k9_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Seksuaalinen tai seksuaalissävytteinen vihjailu:Kollegani koki;
k9_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Pakotettu seksuaalinen teko tai raiskaus, tai näiden yritys:Minä koin;
k9_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Pakotettu seksuaalinen teko tai raiskaus, tai näiden yritys:Kollegani koki;
k9_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Sukuelinten, rintojen tai pakaroiden koskettelu tai tämän yritys:Minä koin;
k9_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Sukuelinten, rintojen tai pakaroiden koskettelu tai tämän yritys:Kollegani koki;
k9_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Seksualisoiva tai epäasiallinen koskettelu muiden kuin sukuelinten, rintojen tai pakaroiden alueella:Minä koin;
k9_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation sisäisestä seksuaalisesta häirinnästä tai väkivallasta::Seksualisoiva tai epäasiallinen koskettelu muiden kuin sukuelinten, rintojen tai pakaroiden alueella:Kollegani koki;
